GEOID,Id2,Geography,1519NM,1519W,1519D,1519S,1519NVM,2034NM,2034W,2034D,2034S,2034NVM,3544NM,3544W,3544D,3544S,3544NVM,4554NM,4554W,4554D,4554S,4554NVM,5564NM,5564W,5564D,5564S,5564NVM,65OVNM,65OVW,65OVD,65OVS,65OVNVM
0500000US01005,1005,"Barbour County, Alabama",0.00,0.00,0.00,0.00,100.00,25.98,0.00,9.83,2.90,61.28,38.00,1.30,25.19,5.05,30.45,55.50,2.65,19.50,6.10,16.21,61.86,7.71,17.01,2.99,10.37,51.54,32.48,11.09,1.43,3.56
0500000US01011,1011,"Bullock County, Alabama",0.00,0.00,0.00,0.00,100.00,14.48,0.00,4.52,5.02,75.98,22.39,0.00,24.25,3.38,49.98,31.05,5.90,6.55,22.35,34.21,45.08,11.40,18.37,10.34,14.90,37.29,41.54,8.52,2.70,9.95
0500000US01029,1029,"Cleburne County, Alabama",0.00,0.00,1.01,0.00,98.99,46.08,0.10,7.33,1.12,45.37,63.62,2.85,17.49,6.32,9.66,60.71,4.30,22.74,5.10,7.15,62.95,9.18,20.04,1.34,6.53,59.46,28.74,8.04,0.17,3.59
0500000US01037,1037,"Coosa County, Alabama",0.00,0.00,0.00,0.00,100.00,27.97,4.61,8.39,5.54,53.48,52.83,0.21,17.19,6.25,23.53,58.44,2.25,19.01,6.90,13.41,59.70,8.50,20.34,0.93,10.47,48.10,33.37,14.60,1.32,2.56
0500000US01053,1053,"Escambia County, Alabama",0.00,0.00,0.00,0.00,100.00,30.04,0.05,7.79,2.84,59.22,46.95,2.26,13.78,6.82,30.18,53.79,4.24,22.55,2.80,16.66,55.04,7.44,24.13,5.44,7.95,55.01,29.78,10.04,2.13,3.08
0500000US01063,1063,"Greene County, Alabama",0.00,0.00,0.00,0.00,100.00,19.21,4.98,5.54,1.52,68.75,32.58,11.47,16.85,17.73,21.33,42.96,2.85,15.65,5.00,33.55,48.49,5.66,25.98,3.08,16.85,41.31,35.94,16.30,0.06,6.40
0500000US01079,1079,"Lawrence County, Alabama",0.00,0.00,0.81,0.61,98.63,41.11,0.80,9.42,2.06,46.62,68.77,1.12,15.12,4.04,11.00,66.30,3.20,16.45,5.65,8.50,67.84,7.44,15.80,3.59,5.33,51.66,32.59,11.57,0.35,3.82
0500000US01105,1105,"Perry County, Alabama",0.00,0.00,0.00,0.00,100.00,11.60,0.00,6.29,0.91,81.29,26.74,1.11,14.82,4.31,53.07,35.20,6.00,21.06,14.04,23.70,45.08,9.08,16.99,1.55,27.19,50.53,33.40,5.51,2.49,8.01
0500000US01129,1129,"Washington County, Alabama",0.00,0.00,0.00,0.00,100.00,41.87,0.25,8.53,1.92,47.48,63.98,0.16,21.27,3.57,11.03,71.55,2.55,13.05,2.85,10.06,78.55,5.39,10.78,2.83,2.50,56.56,29.15,9.44,0.38,4.53
0500000US02016,2016,"Aleutians West Census Area, Alaska",0.00,0.00,0.00,0.00,100.00,26.42,0.00,6.82,2.85,63.97,49.43,2.33,17.25,5.47,25.52,49.40,4.30,22.70,6.19,17.35,44.21,8.14,22.96,7.31,17.38,48.82,28.68,18.43,0.76,3.26
0500000US02060,2060,"Bristol Bay Borough, Alaska",0.00,0.00,0.00,0.00,100.00,40.79,0.00,2.47,0.00,56.74,53.67,1.71,24.35,5.02,15.30,68.74,2.60,16.75,0.40,11.56,66.62,5.95,15.24,4.45,7.74,47.55,38.05,12.37,0.00,2.03
0500000US02068,2068,"Denali Borough, Alaska",0.00,0.00,0.00,0.00,100.00,30.82,0.00,2.13,0.00,67.10,66.78,0.00,16.08,0.00,17.13,48.41,0.00,17.56,1.85,32.22,61.37,1.82,17.71,1.93,17.13,57.12,13.06,20.85,0.00,8.97
0500000US02070,2070,"Dillingham Census Area, Alaska",0.00,0.74,0.00,0.00,99.26,26.56,0.61,3.96,1.11,67.86,51.61,2.40,12.84,4.40,28.74,50.34,3.75,12.55,4.00,29.42,60.87,7.15,19.12,0.77,12.13,54.40,30.17,6.33,0.00,9.10
0500000US02100,2100,"Haines Borough, Alaska",0.00,0.00,0.00,0.00,100.00,40.30,0.00,0.66,0.00,59.00,63.64,4.33,13.02,1.88,17.08,61.42,0.00,18.02,0.00,20.55,60.03,1.34,30.06,4.45,4.22,51.32,14.51,28.17,0.00,6.00
